epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5843.65,0.43846,0.5691,1.02576,0.97914,0.99284,0.995,0.94771,0.29613,0.65273,0.8799,0.000462281,0.000462281,0.000462281
43,5984.7,0.40393,0.50806,0.9876,0.98707,1,0.995,0.97237,0.25164,0.59875,0.85662,0.000438703,0.000438703,0.000438703
44,6123.12,0.4008,0.49757,1.00486,0.98775,1,0.995,0.96038,0.2631,0.62897,0.86288,0.000415124,0.000415124,0.000415124
45,6265.37,0.39724,0.48302,1.00787,0.98771,1,0.995,0.95355,0.29348,0.64108,0.86453,0.000391546,0.000391546,0.000391546
46,6405.46,0.40302,0.4916,1.01476,0.98582,1,0.995,0.90721,0.29739,0.65707,0.86049,0.000367967,0.000367967,0.000367967
47,6546.25,0.37916,0.49441,0.9932,0.98877,1,0.995,0.94372,0.29229,0.61245,0.85997,0.000344389,0.000344389,0.000344389
48,6688.1,0.40852,0.50099,0.99046,0.98861,1,0.995,0.89376,0.36824,0.62595,0.89274,0.00032081,0.00032081,0.00032081
49,6829.7,0.40929,0.4748,1.00096,0.98274,0.9971,0.995,0.93688,0.31164,0.61302,0.86189,0.000297232,0.000297232,0.000297232
50,6967.74,0.40622,0.46829,1.00272,0.98116,0.97066,0.995,0.94003,0.28048,0.61774,0.85411,0.000273654,0.000273654,0.000273654
51,7108.15,0.24602,0.67831,0.89657,0.92963,0.97046,0.995,0.93583,0.30746,0.76475,0.86973,0.000250075,0.000250075,0.000250075
52,7242.33,0.24074,0.65408,0.89151,0.9639,0.97396,0.995,0.95778,0.27309,0.79258,0.84656,0.000226497,0.000226497,0.000226497
53,7377.79,0.23074,0.62953,0.8852,0.9689,0.99172,0.995,0.96235,0.24025,0.67621,0.83213,0.000202918,0.000202918,0.000202918
54,7515.12,0.24105,0.56118,0.86568,0.97293,0.96701,0.995,0.96589,0.23006,0.6226,0.83672,0.00017934,0.00017934,0.00017934
55,7653.67,0.20266,0.52256,0.83769,0.9212,0.96807,0.995,0.97005,0.23571,0.66092,0.84294,0.000155761,0.000155761,0.000155761
56,7791.81,0.21871,0.54108,0.88314,0.92205,0.96804,0.995,0.995,0.2199,0.67389,0.82348,0.000132183,0.000132183,0.000132183
57,7930.52,0.21596,0.54319,0.88099,0.92555,0.96837,0.995,0.995,0.21302,0.65208,0.81965,0.000108604,0.000108604,0.000108604
58,8064.68,0.20994,0.52613,0.87676,0.93572,0.96824,0.995,0.97905,0.21255,0.5966,0.818,8.50255e-05,8.50255e-05,8.50255e-05
59,8200.98,0.21872,0.54493,0.87407,0.97683,0.97181,0.995,0.97805,0.2143,0.56247,0.81634,6.1447e-05,6.1447e-05,6.1447e-05
60,8336,0.20619,0.5402,0.86811,0.9808,0.97355,0.995,0.97432,0.21156,0.56237,0.81472,3.78685e-05,3.78685e-05,3.78685e-05
